Rotina_de_Trabalho,Negligente (Nunca vai ao médico),"Preventivo (Sim, regularmente)","Reativo (Não, só quando há problemas)"
Não se desloca (Home Office ou Inativo),8.8,80.6,10.6
Trabalha presencialmente (Enfrenta deslocamento),7.8,75.3,16.9
