,Nome_Limpo,stop_lat,stop_lon,Espera_Media_Minutos,Qtd_Plataformas
68,TERMINAL PARELHEIROS,-23.828307571428574,-46.727059,10.941228743792015,7
69,TERMINAL PARQUE DOM PEDRO II,-23.547015054545454,-46.63017003636364,13.077034864921037,55
70,TERMINAL PENHA,-23.518789833333333,-46.54684966666667,14.686880341880341,6
71,TERMINAL PINHEIROS,-23.566349857142857,-46.701697619047614,13.269714114120642,21
72,TERMINAL PIRITUBA,-23.486343266666665,-46.726327366666666,13.283003465699004,30
73,TERMINAL PRINCESA ISABEL,-23.534468,-46.644627588235295,12.88453661678254,17
74,TERMINAL RODOVIARIO DO JACIRA,-23.74195333333333,-46.80020533333334,8.466666666666667,3
75,TERMINAL S. MATEUS,-23.61327091304348,-46.47642469565217,11.517430866115737,23
76,TERMINAL S. MIGUEL,-23.4916169,-46.434729399999995,20.80145293385859,10
77,TERMINAL SACOMA,-23.603005272727273,-46.60247131818182,12.361640780503846,22
78,TERMINAL SANTANA,-23.502509458333332,-46.62392441666666,11.003199638860126,24
79,TERMINAL SAPOPEMBA,-23.614061666666668,-46.50088491666667,14.01330967403316,12
80,TERMINAL STA. CRUZ,-23.599159666666665,-46.63722366666667,11.853150406504065,3
81,TERMINAL STO. AMARO,-23.654135133333334,-46.711116733333334,9.54934930039052,45
82,TERMINAL USP,-23.552396333333334,-46.7321035,17.40746296831823,6
83,TERMINAL V. PRUDENTE,-23.584808199999998,-46.5839666,16.108832524065082,5
84,TERMINAL V. PRUDENTE CENTRAL,-23.584717375,-46.5832505,12.53402832365773,16
85,TERMINAL VARGINHA,-23.76710576,-46.71628732,12.363042616129922,25
86,TERMINAL VILA CARRAO,-23.558371428571427,-46.522768380952385,14.72093182686723,21
87,TERMINAL VILA IARA,-23.546911,-46.76099575,11.071875,4
88,TERMINAL VILA NOVA CACHOEIRINHA,-23.475078421052633,-46.67004868421052,9.953511353562446,19
89,TERMINAL VILA SONIA,-23.591283699999998,-46.7359029,12.44381384905308,10
