Tabela 20,,,,,,,
Tempo Médio das Viagem Produzidas por Tipo de Viagem e Zona de Origem – 2017,,,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,,,
Pesquisa Origem e Destino 2017,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,
,,,,,,,
Zona de,Tempo Médio de Viagem(minutos) por Tipo,,,,,,
 Origem , Coletivo , Individual , A pé , Bicicleta ,,,
120,  -   ,  -   ,  -   ,  -   ,,,
121,  56 ,  24 ,  15 ,  -   ,,,
122,  55 ,  29 ,  13 ,  30 ,,,
123,  51 ,  26 ,  10 ,  -   ,,,
124,  54 ,  23 ,  15 ,  -   ,,,
125,  48 ,  32 ,  11 ,  21 ,,,
126,  54 ,  26 ,  12 ,  30 ,,,
127,  51 ,  21 ,  14 ,  27 ,,,
128,  71 ,  27 ,  10 ,  50 ,,,
129,  57 ,  29 ,  12 ,  -   ,,,
130,  69 ,  37 ,  17 ,  9 ,,,
131,  71 ,  37 ,  9 ,  75 ,,,
132,  65 ,  38 ,  16 ,  27 ,,,
133,  52 ,  19 ,  11 ,  25 ,,,
134,  56 ,  19 ,  11 ,  -   ,,,
135,  47 ,  22 ,  12 ,  20 ,,,
136,  59 ,  24 ,  10 ,  50 ,,,
137,  52 ,  20 ,  14 ,  10 ,,,
138,  58 ,  29 ,  11 ,  15 ,,,
139,  55 ,  23 ,  9 ,  54 ,,,
140,  63 ,  28 ,  10 ,  46 ,,,
141,  55 ,  21 ,  12 ,  36 ,,,
142,  50 ,  23 ,  10 ,  -   ,,,
143,  -   ,  -   ,  -   ,  -   ,,,
144,  50 ,  31 ,  13 ,  -   ,,,
145,  47 ,  19 ,  7 ,  40 ,,,
146,  -   ,  -   ,  -   ,  -   ,,,
147,  47 ,  21 ,  11 ,  60 ,,,
148,  44 ,  18 ,  13 ,  30 ,,,
149,  -   ,  60 ,  -   ,  30 ,,,
150,  58 ,  30 ,  13 ,  -   ,,,
151,  63 ,  17 ,  12 ,  37 ,,,
152,  44 ,  23 ,  12 ,  20 ,,,
153,  48 ,  28 ,  10 ,  -   ,,,
154,  53 ,  23 ,  11 ,  -   ,,,
155,  45 ,  27 ,  15 ,  15 ,,,
156,  49 ,  19 ,  11 ,  38 ,,,
157,  57 ,  18 ,  10 ,  15 ,,,
158,  48 ,  30 ,  16 ,  15 ,,,
159,  48 ,  22 ,  8 ,  -   ,,,
160,  46 ,  27 ,  17 ,  -   ,,,
161,  70 ,  25 ,  9 ,  10 ,,,
162,  62 ,  31 ,  14 ,  18 ,,,
163,  52 ,  21 ,  12 ,  10 ,,,
164,  75 ,  47 ,  14 ,  16 ,,,
165,  60 ,  31 ,  8 ,  10 ,,,
166,  62 ,  28 ,  14 ,  -   ,,,
167,  68 ,  33 ,  11 ,  20 ,,,
168,  66 ,  30 ,  12 ,  -   ,,,
169,  68 ,  24 ,  11 ,  10 ,,,
170,  54 ,  36 ,  15 ,  14 ,,,
171,  50 ,  26 ,  13 ,  -   ,,,
172,  50 ,  21 ,  16 ,  20 ,,,
173,  63 ,  25 ,  13 ,  20 ,,,
174,  53 ,  30 ,  11 ,  15 ,,,
175,  48 ,  20 ,  12 ,  -   ,,,
176,  49 ,  24 ,  14 ,  -   ,,,
177,  47 ,  27 ,  10 ,  26 ,,,
178,  72 ,  102 ,  15 ,  -   ,,,
179,  -   ,  -   ,  -   ,  -   ,,,
180,  57 ,  27 ,  13 ,  17 ,,,
181,  54 ,  21 ,  17 ,  15 ,,,
182,  47 ,  29 ,  13 ,  43 ,,,
183,  60 ,  20 ,  14 ,  5 ,,,
184,  60 ,  23 ,  11 ,  10 ,,,
185,  52 ,  34 ,  11 ,  -   ,,,
186,  57 ,  29 ,  12 ,  -   ,,,
187,  70 ,  24 ,  12 ,  13 ,,,
188,  49 ,  25 ,  14 ,  60 ,,,
189,  57 ,  17 ,  13 ,  -   ,,,
190,  48 ,  27 ,  15 ,  -   ,,,
191,  52 ,  46 ,  16 ,  -   ,,,
192,  54 ,  28 ,  12 ,  -   ,,,
193,  62 ,  27 ,  18 ,  66 ,,,
194,  56 ,  34 ,  10 ,  -   ,,,
195,  68 ,  17 ,  12 ,  -   ,,,
196,  56 ,  22 ,  13 ,  38 ,,,
197,  56 ,  22 ,  13 ,  15 ,,,
198,  51 ,  22 ,  12 ,  15 ,,,
199,  56 ,  19 ,  8 ,  10 ,,,
200,  73 ,  29 ,  11 ,  16 ,,,
201,  60 ,  22 ,  11 ,  10 ,,,
202,  68 ,  22 ,  13 ,  15 ,,,
203,  65 ,  34 ,  14 ,  -   ,,,
204,  72 ,  21 ,  14 ,  8 ,,,
205,  83 ,  31 ,  10 ,  58 ,,,
206,  53 ,  20 ,  14 ,  14 ,,,
207,  64 ,  34 ,  15 ,  5 ,,,
208,  58 ,  24 ,  13 ,  21 ,,,
