Tabela 22,,,,,
Viagens Diárias Atraídas por Tipo e Zona de Destino – 2017,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2017,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
 Zona de Destino , Viagens Atraídas por Tipo ,,,, Total 
, Coletivo , Individual , Modo Motorizado , Modo Não Motorizado ,
,,,,,
,,,,,
84,  16.043 ,  25.342 ,  41.385 ,  13.320 ,  54.705 
85,  7.266 ,  8.882 ,  16.147 ,  4.202 ,  20.350 
86,  4.625 ,  3.786 ,  8.411 ,  1.835 ,  10.246 
87,  16.594 ,  19.943 ,  36.538 ,  8.063 ,  44.601 
88,  24.920 ,  47.513 ,  72.433 ,  32.179 ,  104.612 
89,  8.151 ,  9.000 ,  17.151 ,  3.695 ,  20.846 
90,  11.431 ,  23.648 ,  35.079 ,  9.980 ,  45.059 
91,  44.065 ,  13.249 ,  57.314 ,  5.001 ,  62.315 
92,  14.646 ,  7.897 ,  22.543 ,  8.270 ,  30.813 
93,  87.082 ,  18.349 ,  105.431 ,  13.253 ,  118.685 
94,  24.471 ,  16.446 ,  40.917 ,  12.756 ,  53.673 
95,  12.335 ,  20.352 ,  32.688 ,  9.724 ,  42.411 
96,  12.329 ,  17.085 ,  29.414 ,  4.347 ,  33.761 
97,  14.269 ,  22.014 ,  36.283 ,  7.097 ,  43.380 
98,  8.779 ,  4.796 ,  13.576 ,  2.297 ,  15.872 
99,  22.762 ,  15.763 ,  38.525 ,  4.955 ,  43.479 
100,  83.316 ,  44.807 ,  128.122 ,  21.539 ,  149.661 
101,  16.456 ,  22.759 ,  39.216 ,  7.699 ,  46.915 
102,  12.123 ,  15.707 ,  27.829 ,  4.346 ,  32.175 
103,  5.744 ,  5.036 ,  10.781 ,  812 ,  11.593 
104,  6.131 ,  9.149 ,  15.280 ,  2.567 ,  17.846 
105,  20.830 ,  20.513 ,  41.343 ,  7.256 ,  48.599 
106,  14.314 ,  12.146 ,  26.460 ,  5.133 ,  31.592 
107,  16.777 ,  27.183 ,  43.960 ,  6.367 ,  50.328 
108,  12.432 ,  11.733 ,  24.166 ,  1.974 ,  26.140 
109,  88.482 ,  42.840 ,  131.322 ,  50.738 ,  182.060 
110,  39.740 ,  27.178 ,  66.919 ,  24.626 ,  91.545 
111,  25.598 ,  28.225 ,  53.823 ,  30.313 ,  84.136 
112,  20.083 ,  13.107 ,  33.190 ,  24.337 ,  57.527 
113,  23.530 ,  22.279 ,  45.809 ,  11.766 ,  57.575 
114,  -   ,  -   ,  -   ,  239 ,  239 
115,  31.218 ,  14.682 ,  45.900 ,  24.030 ,  69.930 
116,  117.257 ,  33.949 ,  151.206 ,  88.393 ,  239.599 
117,  28.596 ,  21.675 ,  50.272 ,  9.889 ,  60.161 
118,  7.751 ,  6.173 ,  13.924 ,  8.131 ,  22.055 
119,  61.420 ,  15.748 ,  77.168 ,  34.711 ,  111.879 
120,  -   ,  -   ,  -   ,  -   ,  -   
121,  37.598 ,  17.943 ,  55.542 ,  39.073 ,  94.615 
122,  26.923 ,  15.899 ,  42.822 ,  30.119 ,  72.941 
123,  42.097 ,  9.864 ,  51.962 ,  32.042 ,  84.004 
124,  53.185 ,  31.945 ,  85.130 ,  45.103 ,  130.234 
125,  23.371 ,  13.383 ,  36.754 ,  43.389 ,  80.144 
126,  25.338 ,  23.493 ,  48.831 ,  23.042 ,  71.873 
127,  38.980 ,  50.151 ,  89.130 ,  39.014 ,  128.145 
128,  16.232 ,  16.598 ,  32.831 ,  2.926 ,  35.757 
129,  30.255 ,  22.170 ,  52.425 ,  10.294 ,  62.718 
130,  4.029 ,  4.080 ,  8.109 ,  1.553 ,  9.662 
131,  17.765 ,  7.713 ,  25.478 ,  6.582 ,  32.060 
132,  7.025 ,  7.245 ,  14.270 ,  604 ,  14.874 
133,  35.667 ,  37.218 ,  72.885 ,  19.231 ,  92.117 
134,  23.470 ,  37.046 ,  60.517 ,  12.176 ,  72.693 
135,  30.318 ,  30.280 ,  60.598 ,  23.067 ,  83.665 
136,  28.300 ,  33.033 ,  61.333 ,  28.938 ,  90.271 
137,  37.989 ,  39.958 ,  77.948 ,  28.931 ,  106.878 
138,  8.709 ,  14.126 ,  22.835 ,  11.721 ,  34.557 
139,  24.910 ,  18.282 ,  43.192 ,  19.832 ,  63.023 
140,  23.756 ,  17.977 ,  41.733 ,  48.093 ,  89.826 
141,  58.369 ,  41.917 ,  100.286 ,  60.420 ,  160.705 
142,  32.988 ,  24.782 ,  57.770 ,  40.429 ,  98.199 
143,  -   ,  -   ,  -   ,  -   ,  -   
144,  67.611 ,  62.429 ,  130.039 ,  33.647 ,  163.687 
145,  4.810 ,  11.296 ,  16.106 ,  4.166 ,  20.272 
146,  -   ,  -   ,  -   ,  -   ,  -   
147,  25.107 ,  18.493 ,  43.600 ,  28.774 ,  72.374 
148,  12.530 ,  15.539 ,  28.069 ,  20.795 ,  48.864 
149,  -   ,  78 ,  78 ,  350 ,  428 
150,  27.140 ,  12.738 ,  39.878 ,  23.667 ,  63.545 
151,  51.051 ,  52.145 ,  103.196 ,  75.981 ,  179.178 
152,  21.831 ,  30.468 ,  52.299 ,  27.158 ,  79.456 
153,  18.860 ,  17.243 ,  36.103 ,  5.323 ,  41.426 
154,  35.336 ,  44.455 ,  79.792 ,  20.508 ,  100.300 
155,  14.599 ,  9.399 ,  23.998 ,  18.606 ,  42.604 
156,  33.254 ,  30.168 ,  63.422 ,  24.851 ,  88.273 
157,  10.999 ,  14.050 ,  25.049 ,  9.545 ,  34.594 
158,  31.804 ,  19.047 ,  50.851 ,  25.018 ,  75.869 
159,  28.730 ,  32.186 ,  60.916 ,  39.478 ,  100.394 
160,  22.423 ,  15.401 ,  37.824 ,  15.674 ,  53.498 
161,  27.798 ,  43.331 ,  71.130 ,  50.834 ,  121.963 
162,  27.007 ,  21.909 ,  48.916 ,  19.852 ,  68.767 
163,  26.160 ,  48.209 ,  74.369 ,  23.153 ,  97.522 
164,  9.126 ,  9.211 ,  18.337 ,  7.398 ,  25.735 
165,  18.093 ,  14.720 ,  32.813 ,  4.749 ,  37.562 
166,  51.203 ,  45.729 ,  96.932 ,  22.396 ,  119.328 
167,  56.551 ,  38.837 ,  95.388 ,  22.747 ,  118.134 
168,  32.925 ,  23.117 ,  56.042 ,  18.037 ,  74.079 
169,  50.740 ,  23.523 ,  74.263 ,  13.013 ,  87.276 
170,  48.029 ,  25.146 ,  73.175 ,  24.130 ,  97.305 
171,  38.242 ,  21.903 ,  60.144 ,  21.018 ,  81.162 
172,  18.933 ,  20.596 ,  39.529 ,  12.447 ,  51.976 
173,  15.461 ,  10.823 ,  26.283 ,  18.834 ,  45.117 
174,  31.913 ,  14.011 ,  45.924 ,  40.115 ,  86.039 
175,  18.561 ,  16.847 ,  35.408 ,  24.742 ,  60.150 
176,  18.702 ,  20.249 ,  38.951 ,  19.552 ,  58.503 
177,  4.247 ,  4.318 ,  8.565 ,  5.367 ,  13.932 
178,  2.066 ,  616 ,  2.682 ,  1.266 ,  3.949 
179,  -   ,  -   ,  -   ,  -   ,  -   
180,  37.787 ,  24.836 ,  62.623 ,  57.141 ,  119.763 
181,  28.092 ,  27.845 ,  55.936 ,  26.606 ,  82.542 
182,  25.008 ,  15.375 ,  40.383 ,  25.071 ,  65.454 
183,  27.749 ,  20.859 ,  48.607 ,  19.100 ,  67.707 
184,  10.782 ,  10.936 ,  21.718 ,  21.194 ,  42.912 
185,  12.411 ,  5.793 ,  18.204 ,  11.688 ,  29.892 
186,  8.927 ,  2.927 ,  11.853 ,  5.532 ,  17.385 
187,  22.645 ,  12.183 ,  34.828 ,  28.325 ,  63.153 
188,  32.659 ,  21.315 ,  53.974 ,  23.186 ,  77.160 
189,  31.814 ,  28.626 ,  60.440 ,  31.511 ,  91.951 
190,  38.215 ,  24.497 ,  62.713 ,  20.954 ,  83.667 
191,  20.305 ,  6.496 ,  26.800 ,  1.575 ,  28.375 
192,  19.155 ,  9.647 ,  28.803 ,  22.754 ,  51.557 
193,  12.978 ,  9.296 ,  22.274 ,  14.981 ,  37.255 
194,  14.504 ,  3.561 ,  18.065 ,  16.253 ,  34.318 
195,  20.137 ,  8.593 ,  28.730 ,  19.545 ,  48.275 
196,  21.528 ,  8.470 ,  29.999 ,  20.652 ,  50.650 
197,  20.972 ,  13.615 ,  34.587 ,  15.223 ,  49.810 
198,  46.703 ,  28.016 ,  74.719 ,  27.080 ,  101.799 
199,  38.425 ,  36.799 ,  75.223 ,  88.348 ,  163.571 
200,  14.351 ,  10.580 ,  24.931 ,  27.750 ,  52.682 
201,  39.381 ,  31.454 ,  70.835 ,  70.041 ,  140.876 
202,  49.768 ,  19.106 ,  68.874 ,  25.392 ,  94.266 
203,  29.603 ,  8.925 ,  38.528 ,  31.451 ,  69.979 
204,  50.036 ,  32.222 ,  82.258 ,  84.864 ,  167.122 
205,  45.622 ,  28.895 ,  74.517 ,  71.615 ,  146.132 
206,  38.907 ,  31.558 ,  70.465 ,  30.588 ,  101.054 
207,  37.294 ,  21.309 ,  58.603 ,  71.619 ,  130.223 
